Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Eliot School,"Elliot, Elliott, Eliott Mission School",,"Holcomb, Mississippi",MS,1818,1833,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emahaka Academy,Emahaka Mission,Sasakwa Female Academy; Mekusukey Academy,"Wewoka, Oklahoma",OK,1894,1911,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emmaus Mission School,Emmaus Station School,,"Quitman, Mississippi",MS,1827,1832,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Euchee Boarding School,Yuchi Boarding School,,"Sapulpa, Oklahoma",OK,1894,1948,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Eufaula Boarding School,"Eufaula Dormitory, National High School at Eufaula, Eufaula High School",Asbury Manual Labor School and Mission,"Eufaula, Oklahoma",OK,1848,,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
First Mission House,Bethel Indian School,,"Bethel, Alaska",AK,1883,1945,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Flandreau Indian School,"Flandreau Training, Riggs Institute",,"Flandreau, South Dakota",SD,1872,,BIE Operated,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Forest Grove Indian Training School,Forest Grove Manual Training School,Chemawa Indian Training School,"Forest Grove, Oregon",OR,1880,1885,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Chemawa Indian Training School,Salem Indian School; United States Indian Training and Normal School; Salem Indian Industrial and Training School; Harrison Institute; Chemawa Indian School,Forest Grove Indian Training School,"Salem, Oregon",OR,1885,,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N
Fort Apache Boarding School,"White Mountain Apache Boarding School, Whiteriver School, Fort Apache Training School",,"Whiteriver, Arizona",AZ,1893,1970,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Belknap Boarding and Day School,Ft Belknap Industrial School,,"Harlem, Montana",MT,1891,1934,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Bennett Boarding School,Cheyenne River Agency Boarding School for Indian Boys,St. John's School for Girls,"North Stanley, South Dakota",SD,1880,1894,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Berthold Agency Boarding School,"Fort Berthold Browning School, Fort Berthold Industrial School, Elbowoods Community School, Elbowoods High School",Fort Stevenson Boarding School,"Elbowoods, North Dakota",ND,1895,1953,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Bidwell Indian Boarding School,"Fort Bidwell Training School, Fort Bidwell Boarding School",,"Fort Bidwell, California",CA,1898,1932,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Coffee Academy,Fort Coffee Choctaw Boys Academy,New Hope Academy,"Fort Coffee, Choctaw Nation, Oklahoma",OK,1842,1861,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Defiance Boarding School,"Navajo Indian Boarding School, Navajo Agency Boarding School, Navajo Industrial School, Navajo Training School, Navajo Agency School, Southern Navajo School",,"Fort Defiance, Arizona",AZ,1881,1959,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Hall Boarding School,Lincoln Creek Boarding School,Lincoln Creek Day School,"Fort Hall, Idaho",ID,1874,1936,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Lapwai Training School,"Fort Lapwai Sanatorium and Hospital, Fort Lapwai Industrial School",,"Fort Lapwai, Idaho",ID,1885,1909,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Lewis Indian Boarding School,"Fort Lewis High School, Fort Lewis A&M College, Old Fort, Fort Lewis College*",Fort Lewis High School,"Hesperus, Colorado",CO,1892,1956,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Mojave Indian Industrial School,"Fort Mojave Boarding School, Fort Mojave Training School, Fort Mohave, Fort Mojave School, Herbert Welsh Institute",,"Mohave Valley, AZ",AZ,1890,1931,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Peck Agency Boarding School,Poplar Creek Boarding School,,"Poplar, Montana",MT,1881,1936,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Shaw Government Industrial Indian School,"Fort Shaw Training School, Fort Shaw Boarding School",,"Fort Shaw, Montana",MT,1892,1910,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Sill Indian School,Josiah Missionary School,,"Lawton, Oklahoma",OK,1871,1980,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Simcoe Indian Boarding School,Yakama; Yakima Indian Boarding School; Yakima Agency Boarding School; Yakima Reservation School; Yakima School,Yakama; Yakima Indian Boarding School; Yakima Agency Boarding School,"White Swan, Washington",WA,1860,1922,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Spokane Boarding School,Spokane School; Fort Spokane Indian School,,"Davenport, Washington",WA,1900,1914,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Stevenson Boarding School,Fort Stephenson Industrial School,Fort Berthold Agency Boarding School,"Garrison, North Dakota",ND,1883,1894,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Totten Indian Industrial School,"Whipple Institute, Fort Totten Bonded Industrial School, Tuberculosis Preventorium, Fort Totten Community School",Fort Totten Indian School,"Fort Totten, North Dakota",ND,1890,1959,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Totten Indian School,,Fort Totten Indian Industrial School,"Fort Totten, North Dakota",ND,1874,1891,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Wrangell Tlingit Industrial School,"Fort Wrangel Tlingit Academy, Fort Wrangle Training School, Tlingit Training Academy",,"Wrangell, Alaska",AK,1883,1888,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Yates Government School,"St. Peter Catholic Mission School, Fort Yates Industrial Boarding School",,"Fort Yates, North Dakota",ND,1887,1930,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fort Yuma Indian Boarding School,,,"Winterhaven, California",CA,1884,1900,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Friends High School,"Kotzebue Friends High School, Kotzebue Friends School",,"Kotzebue, Alaska",AK,1887,,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ganado Navajo Presbyterian Mission School,"Kirkwook Memorial Training School, Ganado Mission School, Ganado Boarding School, Ganado Mission High School, Sage Memorial Hospital School of Nursing, College of Ganado",,"Ganado, Arizona",AZ,1902,1951,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Genoa Indian Industrial School,"Genoa Manual Training, Genoa Day School",,"Genoa, Nebraska",NE,1884,1934,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Good Shepherd Industrial School,"Home of the Good Shepherd for Homeless Girls, E. M. Byers Home for Boys, Good Shepherd School",,"Denver, Colorado",CO,1886,1914,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Good Shepherd Industrial School,"House of the Good Shepherd, Good Shepard Industrial School",,"Wauwatosa, Wisconsin",WI,1878,1978,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
Good Will Mission Boarding School,"Goodwill Mission Boarding School, Good-Will Mission School",,"Goodwill, South Dakota",SD,1889,1912,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Grace Mission Home Boarding and Day School,"Grace Howard Mission Boarding and Day School, Grace Howard Boarding and Day School, Grace School",,"Crow Creek, South Dakota",SD,1887,1912,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Grand Junction Indian School,"Grand Junction School, Grand Junction Training, Teller Indian School, Teller Institute",,"Grand Junction, Colorado",CO,1886,1911,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Grand River Boarding School,"Grand River Day School, Little Eagle Day School, Marmot Day School",,"Little Eagle, South Dakota",SD,1893,1911,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Grand Ronde Boarding School,"Manual Training School at Grand Ronde, Grand Ronde Agency Schoolhouse",,"Grand Ronde, Oregon",OR,1862,1908,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Greasewood Boarding and Day School,"Greasewood School, Greasewood Toyei Consolidated Boarding School, Greasewood Springs Boarding and Day School, Greasewood Springs Community School*",Toyei Boarding School,"Ganado, Arizona",AZ,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Greenville Indian Industrial Boarding School,"Greenville Training School, Greenville Day School",,"Greenville, California",CA,1891,1923,,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Haloche Indian Mission School,"Haloche Industrial Institute; Haloche Industrial Institute; The Industrial Institute for the Deaf, Blind and Orphans of the Colored Race; The Negro Institution at Taft",,"Taft, Oklahoma",OK,1906,,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Halstead Mennonite Mission Boarding School,Halstead Indian Industrial School; Mennonite Orphan Home,Halstead Seminary,"Halstead, Kansas",KS,1880,1898,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Halstead Seminary,Halstead Fortbildungs-Schule,Halstead Mennonite Mission Boarding School,"Halstead, Kansas",KS,1883,1880,N,Y,Y,TBD,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hampton Institute,"Butler School for Negro Children, Hampton Agricultural and Industrial School, Hampton Normal and Agricultural Institute, Hampton University*",,"Hampton, Virginia",VA,1878,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hare Industrial School,"Bishop Hare Industrial School, Bishop Hare Mission Home",,"Mission, South Dakota",SD,1929,1970,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Harmony Mission School,"Osage Indian School and Trading Post, Osage Mission",,"Papinville, Missouri",MO,1821,1836,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Harrell International Institute,"Spaulding Female College, Spaulding Institute",,"Muskogee, Oklahoma",OK,1881,1899,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Haskell Indian Industrial Training School,"Haskell Junior College, Haskell Institute, Haskell Indian Nations University*",,"Lawrence, Kansas",KS,1884,,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Havasupai Boarding and Day School,"Havasupai Indian School, Havasupai Elementary School*",,"Supai, Arizona",AZ,1895,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hayward Boarding School,Hayward Indian School,,"Hayward, Wisconsin",WI,1901,1933,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
High Tower Mission School,"Etowah Mission School, Etonee School",,"Cartersville, Georgia",GA,1817,1829,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hilo Boarding School,,,"Hilo, Hawaii",HI,1836,1972,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Holy Child Academy,"Academy of St. Rose, St. Bernard's Hall",,"Avoca, Minnesota",MN,1884,1910,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Holy Cross Boarding School,Kosoreffsky; Anilukhtakpak; Askhomute; Koserefsky; Holy Cross Mission; Holy Cross Boarding and Day School and Orphanage,,"Holy Cross, Alaska",AK,1888,1956,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Holy Family Mission and School,"Holy Family Catholic, Blackfeet Mission School, Holy Family Industrial School, Holy Family Boarding",,"Browning, Montana",MT,1890,1940,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
Homewood Boarding School,Jubilee College,,"Brimfield, Illinois",IL,1883,1888,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Hoopa Valley Boarding School,Hupa Valley Boarding,,"Hoopa Valley, California",CA,1893,1934,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hope Indian Boarding School,Springfield Indian School,,"Springfield, South Dakota",SD,1879,1923,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Huerfano Dormitory,"Hanáádli Community School/Dormitory, Inc., Huerfano Dormitory Day School, Huerfano Day School, Huerfano Boarding School",,"Bloomfield, New Mexico",NM,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hunters Point Boarding School,Hunter's Point Indian School,Hunters Point Day School,"St Michaels, Arizona",AZ,1934,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Immaculate Conception Mission School,Stephan Mission School,Crow Creek Tribal School,"Stephan, South Dakota",SD,1886,1961,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Indian Pueblo Training School,Pueblo Industrial School,Albuquerque Indian School,"Duranes, New Mexico",NM,1881,1884,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
"Industrial and Reformatory School for Girls (Keoneula, Kapalama)","Maunawili Training Schools for Girls, Kawailoa Training School for Girls, Olomana School, Kawailoa Girls' Home, Hawaii Youth Correctional Facility","dustrial and Reformatory School for Girls (Mo'ili'ili, Honolulu), Industrial and Reformatory School for Girls (Maunawili, Ko'olaupoko)","Keoneula, Kapalama, O'ahu, Hawaii",HI,1904,1913,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
"Industrial and Reformatory School for Girls (Mo'ili'ili, Honolulu)","Maunawili Training Schools for Girls, Kawailoa Training School for Girls, Olomana School, Kawailoa Girls' Home, Hawaii Youth Correctional Facility","Industrial and Reformatory School for Girls (Maunawili, Ko'olaupoko), Industrial and Reformatory School for Girls (Keoneula, Kapalama)","Mo'ili'ili, Honolulu, O'ahu, Hawaii",HI,1913,1929,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
"Industrial and Reformatory School for Girls (Maunawili, Ko'olaupoko)","Maunawili Training Schools for Girls, Kawailoa Training School for Girls, Olomana School, Kawailoa Girls' Home, Hawaii Youth Correctional Facility","Industrial and Reformatory School for Girls (Mo'ili'ili, Honolulu), Industrial and Reformatory School for Girls (Keoneula, Kapalama)","Maunawili, Ko'olaupoko, O'ahu, Hawaii",HI,1929,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
"Industrial and Reformatory School (Keoneula, Kapalama)","Waialee Training School for Boys, Olomana School, Hawaii Youth Correctional Facility","Industrial and Reformatory School (Waialee, Waialua), Industrial and Reformatory School (Kawailou)","Keoneula, Kapa'lama, O'ahu, Hawaii",HI,1864,1903,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
"Industrial and Reformatory School (Waialee, Waialua)","Waialee Training School for Boys, Olomana School, Hawaii Youth Correctional Facility","Industrial and Reformatory School (Keoneula, Kapalama), Industrial and Reformatory School (Kawailou)","58130 Kamehameha Highway, Waiale'e, O'ahu, Hawaii",HI,1903,1950,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
Industrial and Reformatory School (Kawailou),"Koolau Boys' Home (Kawailou), Waialee Training School for Boys, Olomana School, Hawaii Youth Correctional Facility","Industrial and Reformatory School (Keoneula, Kapalama), Industrial and Reformatory School (Waialee, Waialua)","Kawailou, O'ahu, Hawaii",HI,1950,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
Institute of American Indian Arts,,,"Santa Fe, New Mexico",NM,1962,,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Intermountain Indian School,"Bushnell Hospital, Intermountain Inter-Tribal School",,"Brigham, Utah",UT,1950,1984,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
International School of Blind and Deaf,"Lura A. Lowrey School for the Blind, Oklahoma School for the Blind",,"Fort Gibson, Oklahoma",OK,1898,1908,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Iowa and Sac and Fox Indian Mission School - Kansas,"Iowa and Sac Mission; Orphan Indian Institute; Iowa, Sac, and Fox Presbyterian Mission; Highland Presbyterian Mission",,"Highland, Kansas",KS,1846,1868,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Iowa and Sac and Fox of Missouri Boarding School,"Great Nemaha Boarding and Day School, Great Nemaha Industrial Orphans' Home, Great Nemaha Indian School",,"White Cloud, Kansas",KS,1871,1916,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Iowa Industrial School,"Orphans Industrial Home, Iowa Industrial Home",,"Nohart, Nebraska",NE,1873,1881,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Iyanbito Boarding School,Iyanbito Day School,,"Fort Wingate, New Mexico",NM,1935,1979,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
