state,region,division,statefip,year,tot_pop,children,white_immig,blk,urban,tot_hh,police,teachers,socwork,child_inst_correctional,child_inst_mental,child_inst_poor_disabled,statename,hs_acres,hs_claims,statehood_year
MT,West,Mountain,30,1880,39156.54,10733.58,10575.6,202.44,0,39156.54,32,119,0,1,0,0,Montana,88547,572,1889
MT,West,Mountain,30,1900,234265,78743,56566,1402,84955,234865,270,1254,0,62,14,280,Montana,1200255,8095,1889
MT,West,Mountain,30,1910,371410,114240,93053,3708,139180,373219,359,2658,3,215.13,0,573.68,Montana,3171451,21602,1889
MT,West,Mountain,30,1920,548867.14,206440.64,100432.8,1073.94,166637.84,548867.14,452,5647,14,127,39,772,Montana,23099829,115996,1889
MT,West,Mountain,30,1930,547149,194126.85,79548.6,1514.25,177772.95,547149,545,6607,20,166,36,796,Montana,30545069,145738,1889
MT,West,Mountain,30,1940,529209,164042,23433,2200,192775,529209,NA,NA,NA,NA,NA,NA,Montana,31864124,150081,1889
NE,North Central,West North Central,31,1870,120307.47,52244.59,32173,111.68,20709.75,120307.47,35,339,0,NA,NA,NA,Nebraska,104358,701,1867
NE,North Central,West North Central,31,1880,452378.89,205829.54,112026.16,2767.94,61386.36,452378.89,178,2970,0,10,2,63,Nebraska,3105842,25604,1867
NE,North Central,West North Central,31,1900,1029281,435122,171774,3112,247546,1033696,435,9237,3,66,7,468,Nebraska,9630458,69001,1867
NE,North Central,West North Central,31,1910,1183098,462507,170953,11331,297007,1185308,553,11783,11,0,0,788.81,Nebraska,11992903,80557,1867
NE,North Central,West North Central,31,1920,1296024.96,479958.5,144502.69,10003.73,409248.89,1296024.96,686,14476,32,313,7,533,Nebraska,21952043,102580,1867
NE,North Central,West North Central,31,1930,1400580.3,485367.6,113265.90000000001,15849.15,483853.35,1400580.3,1387,17233,80,229,15,1511,Nebraska,22214147,103906,1867
NE,North Central,West North Central,31,1940,1321851,417798,34584,13496,517029,1321851,NA,NA,NA,NA,NA,NA,Nebraska,22234038,104078,1867
NV,West,Mountain,32,1870,41204.26,8504.869999999999,13032.59,1114.21,4286.4,41204.26,66,56,1,NA,NA,NA,Nevada,1440,10,1864
NV,West,Mountain,32,1880,62260.39,17029.12,21136.94,540.78,13800.25,62260.39,69,225,1,6,0,84,Nevada,21394,162,1864
NV,West,Mountain,32,1900,46521,14737,8922,200,7221,46521,38,388,0,0,8,0,Nevada,57763,417,1864
NV,West,Mountain,32,1910,74551,17569,15150,100,21369,74551,148,625,3,NA,NA,NA,Nevada,87770,670,1864
NV,West,Mountain,32,1920,77399.37,25785.899999999998,12364.02,612.54,19559.25,77399.37,106,668,0,12,0,93,Nevada,328777,2587,1864
NV,West,Mountain,32,1930,98123.40000000001,26247,13022.550000000001,100.95,36745.8,98123.40000000001,147,935,3,5,2,90,Nevada,602046,3921,1864
NV,West,Mountain,32,1940,97352,28752,4500,300,40696,97352,NA,NA,NA,NA,NA,NA,Nevada,689105,4255,1864
NH,Northeast,New England,33,1870,315737.87,110762.05,30349.79,552.97,82391.75,315737.87,72,2052,0,NA,NA,NA,New Hampshire,0,0,1788
NH,Northeast,New England,33,1880,346971.43,117515.57,47669.71,516.71,94204.12,346971.43,102,2785,1,107,0,313,New Hampshire,0,0,1788
NH,Northeast,New England,33,1900,408426,126218,85222,302,160118,409934,181,3129,3,113,11,411,New Hampshire,0,0,1788
NH,Northeast,New England,33,1910,441506,141352,106139,201,209539,442006,217,3272,4,430.26,0,1147.36,New Hampshire,0,0,1788
NH,Northeast,New England,33,1920,443063.15,138617.11000000002,92202.65,2118.34,225671.26,443063.15,297,3675,16,168,16,440,New Hampshire,0,0,1788
NH,Northeast,New England,33,1930,474868.8,156573.45,81870.45,403.8,319506.75,474868.8,519,4463,39,2,21,1080,New Hampshire,0,0,1788
NH,Northeast,New England,33,1940,495275,141189,25105,600,240957,495275,NA,NA,NA,NA,NA,NA,New Hampshire,0,0,1788
NJ,Northeast,Middle Atlantic,34,1870,903290.5800000001,381574.31,189601.76,33957.17,399549.79,903290.5800000001,552,2666,0,NA,NA,NA,New Jersey,0,0,1787
NJ,Northeast,Middle Atlantic,34,1880,1131045.28,455956.21,219447.18,35209.83,587949.91,1131045.28,853,4483,6,103,37,1610,New Jersey,0,0,1787
NJ,Northeast,Middle Atlantic,34,1900,1943655,699299,459842,68194,1383979,1947776,1979,8972,9,NA,NA,NA,New Jersey,0,0,1787
NJ,Northeast,Middle Atlantic,34,1910,2508175,870388,645628,97123,1871311,2510980,3436,14489,35,71.71,0,4876.28,New Jersey,0,0,1787
NJ,Northeast,Middle Atlantic,34,1920,3155743.2199999997,1118773.3,748860.3,113039.31,2466996.92,3155743.2199999997,5311,20398,263,399,58,3913,New Jersey,0,0,1787
NJ,Northeast,Middle Atlantic,34,1930,4011349.200000001,1298822.7,836673.6,220171.95,3082205.400000001,4011349.200000001,9231,33402,682,415,109,4460,New Jersey,0,0,1787
NJ,Northeast,Middle Atlantic,34,1940,4157560,1089162,234195,220831,3164822,4157560,NA,NA,NA,NA,NA,NA,New Jersey,0,0,1787
NM,West,Mountain,35,1870,90795.63,43517.36,2284.24,309.65999999999997,6089.98,90795.63,20,48,0,NA,NA,NA,New Mexico,0,0,1912
NM,West,Mountain,35,1880,119559.95,52208.42,3379.48,1164.02,0,119559.95,37,140,0,NA,NA,NA,New Mexico,13083,89,1912
NM,West,Mountain,35,1900,201043,89845,6309,1703,22753,201043,76,552,0,13,0,10,New Mexico,757216,5125,1912
NM,West,Mountain,35,1910,316531,134053,13241,2403,43368,317031,159,1683,1,71.71,0,18.87,New Mexico,2966558,19421,1912
NM,West,Mountain,35,1920,360218.37,150154.85,10055.34,6334.51,65427.8,360218.37,213,3029,8,16,14,48,New Mexico,10503681,60200,1912
NM,West,Mountain,35,1930,405415.2,166264.65,7369.35,3937.05,100243.35,405415.2,261,4118,24,90,42,203,New Mexico,16140091,79449,1912
NM,West,Mountain,35,1940,538438,223195,3543,5000,175120,538438,NA,NA,NA,NA,NA,NA,New Mexico,19302056,86968,1912
NY,Northeast,Middle Atlantic,36,1870,4365658.930000001,1729765.76,1124628.26,62832.51,2079373.7,4365658.930000001,4038,20286,13,NA,NA,NA,New York,0,0,1788
NY,Northeast,Middle Atlantic,36,1880,5082658.410000001,1901343.1199999999,1208033.39,80216.92,2801316.1300000004,5082658.410000001,5372,26931,55,252,49,10898,New York,0,0,1788
NY,Northeast,Middle Atlantic,36,1900,7143264,2439368,1860933,99361,5234308,7171553,9929,40775,68,1041,305,25333,New York,0,0,1788
NY,Northeast,Middle Atlantic,36,1910,9024545,2955622,2664276,129066,7128737,9043710,15405,60285,341,2151.2999999999997,573.68,40014.17999999999,New York,0,0,1788
NY,Northeast,Middle Atlantic,36,1920,10385524.739999998,3398752.33,2770639.1700000004,193358.09,8615177.939999996,10385524.739999998,18993,75080,1625,806,232,17023,New York,0,0,1788
NY,Northeast,Middle Atlantic,36,1930,12510127.799999986,3750292.500000001,3158927.400000001,418538.7,10497184.79999999,12510127.799999986,29697,106886,3502,2662,512,21634,New York,0,0,1788
NY,Northeast,Middle Atlantic,36,1940,13435717,3460443,991087,561098,11106362,13435717,NA,NA,NA,NA,NA,NA,New York,0,0,1788
NC,South,South Atlantic,37,1870,1070225.23,518219.31,3997.29,397936.11,30143.71,1070225.23,239,1894,0,NA,NA,NA,North Carolina,0,0,1789
NC,South,South Atlantic,37,1880,1399672.92,686840.82,3137.04,537030.51,48395.43,1399672.92,315,2801,1,160,3,275,North Carolina,0,0,1789
NC,South,South Atlantic,37,1900,1879271,902880,3814,608205,197756,1879271,447,5780,1,95,16,718,North Carolina,0,0,1789
NC,South,South Atlantic,37,1910,2182013,1032373,7038,690598,334417,2182615,642,9206,17,875.4399999999999,0,1550.6699999999998,North Carolina,0,0,1789
NC,South,South Atlantic,37,1920,2559231.55,1204992.3,9019.44,776688.67,491689.14,2559231.55,858,14788,50,121,146,2391,North Carolina,0,0,1789
NC,South,South Atlantic,37,1930,3177906.000000001,1420265.55,8883.6,898656.8999999999,815070.2999999999,3177906.000000001,1814,24604,133,864,26,3607,North Carolina,0,0,1789
NC,South,South Atlantic,37,1940,3537109,1391210,10655,945289,966047,3537109,NA,NA,NA,NA,NA,NA,North Carolina,0,0,1789
ND,North Central,West North Central,38,1870,1715.3000000000002,706.3000000000001,504.5,0,0,1715.3000000000002,0,1,0,NA,NA,NA,North Dakota,6097,38.5,1889
ND,North Central,West North Central,38,1880,36881.2,12746.279999999999,18680.8,118.89,0,36881.2,18,77,0,NA,NA,NA,North Dakota,398223,2732.5,1889
ND,North Central,West North Central,38,1900,323427,150683,114093,1000,26584,323427,140,2435,0,5,3,98,North Dakota,5053723.5,32592.5,1889
ND,North Central,West North Central,38,1910,555508,228756,152877,500,59601,559611,243,5241,0,0,0,932.2299999999999,North Dakota,14301393.5,96516.5,1889
ND,North Central,West North Central,38,1920,646838.18,292853.11,136942.11,95.37,77786.65,646838.18,263,7582,3,5,15,65,North Dakota,19628930.5,132471.5,1889
ND,North Central,West North Central,38,1930,676365,280136.25,105391.8,403.8,110843.1,676365,548,9826,24,4,0,427,North Dakota,19986024.5,135030.5,1889
ND,North Central,West North Central,38,1940,636009,225356,27966,636,138724,636009,NA,NA,NA,NA,NA,NA,North Dakota,20034290.5,135404.5,1889
OH,North Central,East North Central,39,1870,2653540.9499999997,1220777.3,377684.1,51168.03,664788.5,2653540.9499999997,892,11922,1,NA,NA,NA,Ohio,1866,25,1803
OH,North Central,East North Central,39,1880,3197920.98,1356492.94,390762.33999999997,76295.68,999107.7899999999,3197920.98,1590,19517,18,892,35,3604,Ohio,7312,102,1803
OH,North Central,East North Central,39,1900,4171085,1529660,456726,85138,1984043,4173398,2850,27542,43,896,65,7605,Ohio,7672,107,1803
OH,North Central,East North Central,39,1910,4726992,1582461,586098,120622,2687624,4739320,4212,33180,130,932.2299999999999,0,10684.789999999999,Ohio,7707,108,1803
OH,North Central,East North Central,39,1920,5759075.600000001,1934263.34,684740.3200000001,184744.05,3663156.71,5759075.600000001,6245,39603,594,1467,41,7873,Ohio,7707,108,1803
OH,North Central,East North Central,39,1930,6648970.799999997,2208886.9500000007,634268.85,299518.65,4519834.350000001,6648970.799999997,7981,53440,1435,1337,80,9950,Ohio,7707,108,1803
OH,North Central,East North Central,39,1940,6872900,1957908,180608,341788,4606859,6872900,NA,NA,NA,NA,NA,NA,Ohio,7707,108,1803
OK,South,West South Central,40,1900,779201,373393,21973,52198,61870,779302,180,1719,0,8,7,67,Oklahoma,2121214,13899,1907
OK,South,West South Central,40,1910,1688086,765539,39504,133862,328197,1692586,983,9922,2,71.71,0,597.75,Oklahoma,13078267,86773,1907
OK,South,West South Central,40,1920,2028179.65,896084.84,32219.24,142665.01,527374.89,2028179.65,1073,15450,36,119,232,626,Oklahoma,14789385,98892,1907
OK,South,West South Central,40,1930,2433500.7000000007,976590.2999999999,25742.25,171816.9,825670.0499999999,2433500.7000000007,2117,22455,80,353,58,2649,Oklahoma,14865185,99545,1907
OK,South,West South Central,40,1940,2316830,828869,11093,172641,868746,2316830,NA,NA,NA,NA,NA,NA,Oklahoma,14865185,99545,1907
OR,West,Pacific,41,1870,89623.15,43869.7,7354.7699999999995,787.77,7864.62,89623.15,50,394,0,NA,NA,NA,Oregon,28968,183,1859
OR,West,Pacific,41,1880,174757.8,73124.92,21590.66,785.21,23119.45,174757.8,101,1014,3,0,9,56,Oregon,437330,3150,1859
OR,West,Pacific,41,1900,412804,151043,59557,1000,126337,412904,238,3275,1,121,24,103,Oregon,2982539,20376,1859
OR,West,Pacific,41,1910,688359,213295,107340,804,308363,690864,524,5746,2,71.71,0,1219.07,Oregon,4741595,32288,1859
OR,West,Pacific,41,1920,786342.03,254674.95,101825.26,1745.72,392445.24,786342.03,707,7517,36,166,4,399,Oregon,7712798,50238,1859
OR,West,Pacific,41,1930,964072.4999999999,289423.65,110439.3,1009.5,491929.35,964072.4999999999,1160,10264,82,78,26,965,Oregon,9959035,60138,1859
OR,West,Pacific,41,1940,1036042,269475,40081,3600,512361,1036042,NA,NA,NA,NA,NA,NA,Oregon,10469209,62626,1859
PA,Northeast,Middle Atlantic,42,1870,3507896.4300000006,1569578.29,532009.52,69632.78,1289702.54,3507896.4300000006,1529,10531,3,NA,NA,NA,Pennsylvania,0,0,1787
PA,Northeast,Middle Atlantic,42,1880,4282615.23,1824697.4000000001,590966.42,74082.69,1767753.4600000002,4282615.23,2801,18717,9,499,99,5154,Pennsylvania,0,0,1787
PA,Northeast,Middle Atlantic,42,1900,6245921,2378951,981388,153096,3422056,6257360,5112,31930,42,829,101,8304,Pennsylvania,0,0,1787
PA,Northeast,Middle Atlantic,42,1910,7670145,2817937,1467372,196194,4656159,7694007,8482,44622,222,645.39,71.71,15345.939999999999,Pennsylvania,0,0,1787
PA,Northeast,Middle Atlantic,42,1920,8717444.199999996,3238007.5399999996,1391341.6600000001,292010.42,5591451.7799999975,8717444.199999996,11465,57506,859,154,138,10724,Pennsylvania,0,0,1787
PA,Northeast,Middle Atlantic,42,1930,9658593.149999991,3463998.300000001,1246227.75,431662.2,6359446.199999997,9658593.149999991,14152,76937,1781,1409,739,14775,Pennsylvania,0,0,1787
PA,Northeast,Middle Atlantic,42,1940,9890617,2979609,315345,472246,6324210,9890617,NA,NA,NA,NA,NA,NA,Pennsylvania,0,0,1787
RI,Northeast,New England,44,1870,216277.95,78982.05,56837.55,3268.9500000000003,137823.15,216277.95,197,876,1,NA,NA,NA,Rhode Island,0,0,1790
RI,Northeast,New England,44,1880,276512.94,95998.1,72312.77,7326.8,149639.91,276512.94,300,1316,1,3,3,189,Rhode Island,0,0,1790
RI,Northeast,New England,44,1900,422251,145590,128070,11119,296827,422552,527,2276,2,400,15,628,Rhode Island,0,0,1790
RI,Northeast,New England,44,1910,538689,181220,173107,11318,387959,539593,648,3110,13,143.42,71.71,1505.9099999999999,Rhode Island,0,0,1790
RI,Northeast,New England,44,1920,604387.53,204922.81,180458.94,5616.66,424620.18000000005,604387.53,851,3879,70,232,3,409,Rhode Island,0,0,1790
RI,Northeast,New England,44,1930,671317.5,231276.45,173129.25,12214.95,656074.0499999999,671317.5,1172,5275,154,200,0,1124,Rhode Island,0,0,1790
RI,Northeast,New England,44,1940,713549,204113,44934,9616,506044,713549,NA,NA,NA,NA,NA,NA,Rhode Island,0,0,1790
SC,South,South Atlantic,45,1870,704764.34,349112.89,9261.720000000001,408312.02,59819.520000000004,704764.34,229,1248,0,NA,NA,NA,South Carolina,0,0,1788
SC,South,South Atlantic,45,1880,995518.0700000001,504572.79,6180.08,610056.74,71247.04000000001,995518.0700000001,316,2098,2,38,13,345,South Carolina,0,0,1788
SC,South,South Atlantic,45,1900,1340230,680512,4012,793904,178887,1340630,451,4168,0,78,49,876,South Carolina,0,0,1788
SC,South,South Atlantic,45,1910,1557079,763217,8719,869351,245392,1558886,649,6216,6,71.71,71.71,2724.9799999999996,South Carolina,0,0,1788
SC,South,South Atlantic,45,1920,1681541.66,810558.66,6056.24,891543.0599999999,296314.76,1681541.66,683,8549,53,78,78,830,South Carolina,0,0,1788
SC,South,South Atlantic,45,1930,1736440.9500000002,797706.8999999999,5653.2,782362.5,367155.15,1736440.9500000002,1162,13527,69,277,43,1409,South Carolina,0,0,1788
SC,South,South Atlantic,45,1940,1887793,769630,2588,823750,454103,1887793,NA,NA,NA,NA,NA,NA,South Carolina,0,0,1788
SD,North Central,West North Central,46,1870,13520.6,5045,3632.4,0,0,13520.6,0,20,0,NA,NA,NA,South Dakota,6097,38.5,1889
SD,North Central,West North Central,46,1880,98011.37,39917.96,31656.48,0,0,98011.37,36,366,0,0,4,0,South Dakota,398223,2732.5,1889
SD,North Central,West North Central,46,1900,385937,171306,84228,100,44745,386237,224,3698,0,16,6,63,South Dakota,5233058.5,33737.5,1889
SD,North Central,West North Central,46,1910,575250,228987,100286,2415,70807,576859,331,5325,1,292.03999999999996,215.13,71.71,South Dakota,10672619.5,69487.5,1889
SD,North Central,West North Central,46,1920,636519.44,254814.2,79461.73,805.13,98586.1,636519.44,295,7559,8,8,0,309,South Dakota,16124304.5,104966.5,1889
SD,North Central,West North Central,46,1930,704227.2,259340.55000000002,68847.90000000001,1009.5,138907.2,704227.2,618,9777,14,13,20,560,South Dakota,18092042.5,113428.5,1889
SD,North Central,West North Central,46,1940,638738,220498,19362,300,160684,638738,NA,NA,NA,NA,NA,NA,South Dakota,18265445.5,114073.5,1889
TN,South,East South Central,47,1870,1257649.25,636769.7,14863.13,330524.25,85134.86,1257649.25,361,2288,16,NA,NA,NA,Tennessee,0,0,1796
TN,South,East South Central,47,1880,1542286.06,755453.68,17739.04,387214.91,115443.38,1542286.06,525,3808,0,137,8,363,Tennessee,0,0,1796
TN,South,East South Central,47,1900,2014934,911178,17342,470545,331702,2015739,766,7152,2,866,32,1151,Tennessee,0,0,1796
TN,South,East South Central,47,1910,2190770,959439,20259,485771,448841,2196805,1092,10443,5,607.53,71.71,788.81,Tennessee,0,0,1796
TN,South,East South Central,47,1920,2345732.25,978663.35,14404.13,433428.73,626559.5,2345732.25,1192,12743,66,673,18,1117,Tennessee,0,0,1796
TN,South,East South Central,47,1930,2636713.0500000007,1036655.5499999999,11710.2,496472.1,916323.1499999999,2636713.0500000007,2075,19273,167,472,20,1821,Tennessee,0,0,1796
TN,South,East South Central,47,1940,2925954,1055158,6727,484349,1016004,2925954,NA,NA,NA,NA,NA,NA,Tennessee,0,0,1796
TX,South,West South Central,48,1870,815683.92,418730.51,39467.73,244558.24,53285.84,815683.92,266,1755,0,NA,NA,NA,Texas,0,0,1845
TX,South,West South Central,48,1880,1591672.67,796089.84,68272.46,408254.6,146751.78,1591672.67,828,4348,2,162,15,158,Texas,0,0,1845
TX,South,West South Central,48,1900,3106274,1509948,109306,620409,534380,3107074,1239,13917,0,118,44,1534,Texas,0,0,1845
TX,South,West South Central,48,1910,3891939,1759840,113520,748900,950389,3897350,1768,22529,18,403.09999999999997,0,3698.12,Texas,0,0,1845
TX,South,West South Central,48,1920,4658184.28,1940753.25,113613.17,737380.22,1528425.25,4658184.28,2244,32338,90,1001,119,2655,Texas,0,0,1845
TX,South,West South Central,48,1930,5864589.299999998,2277028.2000000007,90249.3,849696.1499999999,2378079.1500000004,5864589.299999998,4130,49977,249,970,206,3124,Texas,0,0,1845
TX,South,West South Central,48,1940,6097588,2082529,30524,906452,2729341,6097588,NA,NA,NA,NA,NA,NA,Texas,0,0,1845
UT,West,Mountain,49,1870,86053.92,43661.04,33554.75,0,16533.02,86053.92,15,142,0,NA,NA,NA,Utah,0,0,1896
UT,West,Mountain,49,1880,143953.12,71004.78,47188.61,81.89,35082.54,143953.12,41,452,0,NA,NA,NA,Utah,173498,1294,1896
UT,West,Mountain,49,1900,274417,131728,49838,1402,106220,274619,147,1656,1,40,7,177,Utah,955063,6820,1896
UT,West,Mountain,49,1910,393819,166196,70172,3301,187203,394828,260,3114,3,0,0,573.68,Utah,1156182,8204,1896
UT,West,Mountain,49,1920,449374,196110.28,56180.53,2382.7400000000002,223215.84,449374,345,3958,16,138,0,206,Utah,1972415,11948,1896
UT,West,Mountain,49,1930,515551.64999999997,219263.4,35332.5,1514.25,266003.25,515551.64999999997,461,5320,42,149,42,293,Utah,2925520,15146,1896
UT,West,Mountain,49,1940,531568,201560,11821,1047,293472,531568,NA,NA,NA,NA,NA,NA,Utah,3494009,16462,1896
VT,Northeast,New England,50,1870,329132.04,121838.26,53491.91,403.04,30835.36,329132.04,50,1954,0,NA,NA,NA,Vermont,0,0,1791
VT,Northeast,New England,50,1880,332256.12,118242.18,39247.74,603.89,49594.299999999996,332256.12,67,2869,0,4,5,133,Vermont,0,0,1791
VT,Northeast,New England,50,1900,344125,113841,46631,1303,98650,344825,103,2981,0,8,19,206,Vermont,0,0,1791
VT,Northeast,New England,50,1910,341650,111226,52434,800,120307,341750,125,3353,3,358.54999999999995,0,501.96999999999997,Vermont,0,0,1791
VT,Northeast,New England,50,1920,351845.46,120067.11,47701.92,0,143403.18,351845.46,130,3346,7,3,29,137,Vermont,0,0,1791
VT,Northeast,New England,50,1930,348580.35,112054.5,46235.1,807.6,190189.80000000002,348580.35,302,3559,25,218,23,381,Vermont,0,0,1791
VT,Northeast,New England,50,1940,351622,107827,12435,300,111087,351622,NA,NA,NA,NA,NA,NA,Vermont,0,0,1791
VA,South,South Atlantic,51,1870,1220435.08,587317.21,13259.35,510549.65,143937.16999999998,1220435.08,469,2417,1,NA,NA,NA,Virginia,0,0,1788
VA,South,South Atlantic,51,1880,1512481.49,721383.38,12175.7,632976.98,189600.09,1512481.49,577,4536,1,132,14,604,Virginia,0,0,1788
VA,South,South Atlantic,51,1900,1787572,795918,18850,639522,321664,1788984,757,8481,3,291,47,774,Virginia,0,0,1788
VA,South,South Atlantic,51,1910,2073884,910126,23458,696899,479734,2076487,1031,11040,6,765.87,0,1362.4899999999998,Virginia,0,0,1788
VA,South,South Atlantic,51,1920,2309780.44,976213.6900000001,30041.98,697422.83,677872.8200000001,2309780.44,1548,15113,85,576,82,1392,Virginia,0,0,1788
VA,South,South Atlantic,51,1930,2421891.4500000007,964274.3999999999,20593.8,642849.6,797202.1499999999,2421891.4500000007,2215,19273,181,463,87,1590,Virginia,0,0,1788
VA,South,South Atlantic,51,1940,2669539,939418,11873,654831,803513,2669539,NA,NA,NA,NA,NA,NA,Virginia,0,0,1788
WA,West,Pacific,53,1870,23953.42,9794.46,4347.389999999999,0,0,23953.42,10,86,0,NA,NA,NA,Washington,65358,418,1889
WA,West,Pacific,53,1880,75114.05,31172.42,12839.38,260.40999999999997,0,75114.05,40,405,0,7,3,0,Washington,340519,2603,1889
WA,West,Pacific,53,1900,518243,188518,101960,2304,223143,523358,391,3485,1,163,0,311,Washington,3649441,25382,1889
WA,West,Pacific,53,1910,1190609,364124,277010,5409,652649,1214336,1052,8597,11,215.13,0,979.03,Washington,6406990,44209,1889
WA,West,Pacific,53,1920,1357522.6400000001,444378.16,259971.06,5667.4800000000005,730561.86,1357522.6400000001,1327,12029,125,358,22,827,Washington,8037514,55727,1889
WA,West,Pacific,53,1930,1575223.8,482339.1,246519.9,7470.3,874630.7999999999,1575223.8,1994,14933,145,875,9,1092,Washington,8407217,57790,1889
WA,West,Pacific,53,1940,1647265,437536,87472,6087,844747,1647265,NA,NA,NA,NA,NA,NA,Washington,8457170,58077,1889
WV,South,South Atlantic,54,1870,440868.95,219802.16,18929.71,17379.04,36943.55,440868.95,111,861,0,NA,NA,NA,West Virginia,0,0,1863
WV,South,South Atlantic,54,1880,618429.8099999999,308148.66,19319,24463.7,51248.61,618429.8099999999,185,2175,0,20,9,291,West Virginia,0,0,1863
WV,South,South Atlantic,54,1900,970778,432339,18882,47354,117492,970778,346,4921,2,235,39,430,West Virginia,0,0,1863
WV,South,South Atlantic,54,1910,1231109,537819,56410,71284,241800,1233209,669,8471,9,143.42,0,1434.1999999999998,West Virginia,0,0,1863
WV,South,South Atlantic,54,1920,1464349.05,626742.11,63254.99,88022.2,368890.52999999997,1464349.05,729,11302,33,348,697,786,West Virginia,0,0,1863
WV,South,South Atlantic,54,1930,1707771.1500000001,721186.7999999999,48758.85,115688.7,487386.6,1707771.1500000001,1338,16492,73,716,294,1015,West Virginia,0,0,1863
WV,South,South Atlantic,54,1940,1891810,704000,15306,109637,533702,1891810,NA,NA,NA,NA,NA,NA,West Virginia,0,0,1863
WI,North Central,East North Central,55,1870,1049889.59,504522.7,368771.92,2881.14,203734.7,1049889.59,210,4979,0,NA,NA,NA,Wisconsin,173043,1688,1848
WI,North Central,East North Central,55,1880,1315429.69,583782.08,414987.25,2026.32,315677.2,1315429.69,393,8320,1,40,22,726,Wisconsin,1180825,10868,1848
WI,North Central,East North Central,55,1900,2078130,875499,520720,3003,788308,2080840,897,14275,5,56,59,2113,Wisconsin,2409253,21975,1848
WI,North Central,East North Central,55,1910,2305175,881131,525971,2210,1016440,2307475,1216,19437,23,215.13,0,3011.8199999999997,Wisconsin,2963296,27592,1848
WI,North Central,East North Central,55,1920,2629044.07,976726.53,446821.49,3153.58,1245398.91,2629044.07,1522,20138,89,701,80,2366,Wisconsin,3102843,29185,1848
WI,North Central,East North Central,55,1930,2945115.3000000007,1025147.2499999999,387143.25,13527.300000000001,1563917.4000000001,2945115.3000000007,4212,26602,305,60,493,3454,Wisconsin,3110555,29330,1848
WI,North Central,East North Central,55,1940,3140875,952630,108217,11441,1679659,3140875,NA,NA,NA,NA,NA,NA,Wisconsin,3110555,29330,1848
WY,West,Mountain,56,1870,8842.06,551.72,3375.65,324.26,0,8842.06,181,8,0,NA,NA,NA,Wyoming,0,0,1890
WY,West,Mountain,56,1880,20787.43,6945.959999999999,3946.9599999999996,170.92,0,20787.43,20,63,0,5,0,0,Wyoming,6631,49,1890
WY,West,Mountain,56,1900,96568,35504,17642,903,28473,96568,77,495,0,6,7,3,Wyoming,537177,3549,1890
WY,West,Mountain,56,1910,137292,44519,27284,1610,40832,138194,121,960,0,NA,NA,NA,Wyoming,1564409,10780,1890
WY,West,Mountain,56,1920,194391.46,74423.01,24617.61,653.16,53640.92,194391.46,120,1873,2,47,3,52,Wyoming,5605964,30039,1890
WY,West,Mountain,56,1930,225522.30000000002,77933.40000000001,16051.050000000001,807.6,70261.2,225522.30000000002,235,2913,8,2,4,173,Wyoming,14727500,58976,1890
WY,West,Mountain,56,1940,250198,80090,6247,700,92207,250198,NA,NA,NA,NA,NA,NA,Wyoming,17938317,66221,1890
